loop_count,system_time,steer,dist
0,2.05,1500,38
1,2.07,1500,38
2,2.09,1500,39
3,2.12,1500,39
4,2.14,1500,39
5,2.16,1500,39
6,2.18,1500,40
7,2.20,1500,39
8,2.22,1500,39
9,2.25,1500,39
10,2.27,1500,39
11,2.29,1500,39
12,2.31,1500,40
13,2.33,1500,38
14,2.36,1500,40
15,2.38,1500,39
16,2.40,1500,39
17,2.42,1500,40
18,2.44,1500,40
19,2.47,1500,39
20,2.49,1500,39
21,2.51,1500,39
22,2.53,1500,39
23,2.55,1500,40
24,2.58,1500,39
25,2.60,1500,39
26,2.62,1500,39
27,2.64,1500,40
28,2.66,1500,40
29,2.68,1500,39
30,2.70,1500,39
31,2.73,1500,40
32,2.75,1500,39
33,2.77,1500,39
34,2.79,1500,40
35,2.81,1500,39
36,2.83,1500,39
37,2.86,1500,40
38,2.88,1500,38
39,2.90,1500,39
40,2.92,1500,39
41,2.94,1500,39
42,2.96,1500,40
43,2.98,1500,41
44,3.01,1500,40
45,3.03,1500,40
46,3.05,1500,41
47,3.08,1500,40
48,3.10,1500,40
49,3.12,1500,41
50,3.14,1500,41
51,3.16,1500,41
52,3.18,1500,40
53,3.21,1500,41
54,3.23,1500,40
55,3.25,1500,41
56,3.27,1500,41
57,3.29,1500,41
58,3.31,1500,41
59,3.34,1500,42
60,3.36,1500,41
61,3.38,1500,42
62,3.41,1500,42
63,3.43,1500,41
64,3.45,1500,41
65,3.47,1500,41
66,3.49,1500,42
67,3.51,1500,41
68,3.54,1500,41
69,3.56,1500,42
70,3.58,1500,42
71,3.60,1500,42
72,3.62,1500,42
73,3.64,1500,42
74,3.66,1500,43
75,3.69,1500,43
76,3.71,1500,42
77,3.73,1500,42
78,3.76,1500,43
79,3.78,1500,42
80,3.80,1500,42
81,3.82,1500,42
82,3.84,1500,42
83,3.86,1500,43
84,3.89,1500,43
85,3.91,1500,43
86,3.93,1500,42
87,3.95,1500,43
88,3.97,1500,43
89,3.99,1500,43
90,4.01,1500,43
91,4.04,1500,43
92,4.06,1500,43
93,4.08,1500,43
94,4.10,1500,44
95,4.12,1500,43
96,4.14,1500,44
97,4.16,1500,44
98,4.19,1500,44
99,4.21,1500,44
100,4.23,1500,44
101,4.25,1500,45
102,4.27,1500,45
103,4.29,1500,44
104,4.32,1500,44
105,4.34,1500,44
106,4.36,1500,45
107,4.39,1500,44
108,4.41,1500,45
109,4.43,1500,44
110,4.45,1500,44
111,4.47,1500,45
112,4.49,1500,44
113,4.51,1500,44
114,4.54,1500,45
115,4.56,1500,45
116,4.58,1500,45
117,4.60,1500,46
118,4.62,1500,45
119,4.64,1500,45
120,4.67,1500,46
121,4.70,1500,45
122,4.72,1500,46
123,4.75,1500,45
124,4.77,1500,46
125,4.79,1500,45
126,4.82,1500,45
127,4.84,1500,46
128,4.86,1500,46
129,4.88,1500,47
130,4.91,1500,47
131,4.93,1500,47
132,4.95,1500,46
133,4.97,1500,47
134,5.00,1500,47
135,5.02,1500,47
136,5.04,1500,47
137,5.06,1500,47
138,5.08,1500,47
139,5.10,1500,47
140,5.13,1500,48
141,5.15,1500,48
142,5.17,1500,47
143,5.19,1500,47
144,5.21,1500,47
145,5.23,1500,47
146,5.26,1500,47
147,5.28,1500,47
148,5.30,1500,47
149,5.32,1500,47
150,5.34,1500,48
151,5.36,1500,48
152,5.38,1500,48
153,5.41,1500,48
154,5.43,1320,51
155,5.45,1320,49
156,5.47,1320,48
